model,term,coefficient,standard_error,odds_ratio_per_model_unit,ci_low,ci_high,p_value
hinge_10_minutes,sens_depth5,0.006143450424202544,0.050525685361777685,1.0061623601195189,0.9112982268862003,1.1109016401583547,0.9032232266101698
vitaldb_10_second,Intercept,-6.676934023312966,0.7842582911665943,0.0012596340668772972,0.0002708211200686574,0.005858767521660023,1.684802648889711e-17
vitaldb_10_second,C(sex_group)[T.Male],1.183579000085968,0.34576998445609475,3.2660424763623244,1.658448096747912,6.431936868160159,0.000619285797148491
vitaldb_10_second,C(asa_group)[T.2],0.9035510605571903,0.5480566590295145,2.4683528369598897,0.8431416935277329,7.226265495465657,0.09922031292521591
vitaldb_10_second,C(asa_group)[T.3],1.9702860172892036,0.5976526591096143,7.172727719127316,2.2231126982588756,23.14233685635058,0.0009782531479608377
vitaldb_10_second,C(asa_group)[T.4],3.496550684538573,1.1571379683656755,33.00142309206289,3.4164497988620894,318.77943193079676,0.002513402370635593
vitaldb_10_second,C(surgical_category)[T.genitourinary_gynecologic],1.310416208511925,0.3954163907085094,3.7077165743097904,1.7081558253175093,8.047955573875251,0.0009196627528117597
vitaldb_10_second,C(surgical_category)[T.superficial_other],1.346199636975353,0.6314724483929585,3.8427937340196117,1.1146454596010442,13.248215883376805,0.03301981811233675
vitaldb_10_second,C(surgical_category)[T.thoracic],-0.6867724545211997,0.29898240961208394,0.5031975439243863,0.28005557611829507,0.9041339998335904,0.021616888577794233
vitaldb_10_second,C(surgical_category)[T.vascular],-0.4183728450294111,0.5882800193150096,0.6581168070953114,0.2077581750267831,2.084720525319844,0.4769728470320168
vitaldb_10_second,age10,-0.04806664250442903,0.11159388477546132,0.953070269971371,0.765836454770032,1.1860795263083452,0.6666659505236453
vitaldb_10_second,egfr10,0.06297553847913545,0.09532362303458228,1.0650007873736915,0.8835076490915076,1.2837768617769012,0.5088368838962124
vitaldb_10_second,anesthesia_hours,0.2804821658290735,0.06338960651949438,1.3237679341482778,1.169107713777718,1.4988880176120152,9.656105645151315e-06
vitaldb_10_second,sens_total10,0.09573916733208145,0.08627276917033744,1.1004719875116717,0.9292733400018796,1.3032103076318102,0.2671169541732413
vitaldb_10_second,sens_excess10,-0.171882491007187,0.13825981504374785,0.8420781191065133,0.6421927742147231,1.104178662777776,0.2137997679053134
vitaldb_10_second,sens_depth5,0.023748825315882016,0.09682180778117921,1.0240330744014587,0.8470306225483966,1.2380234073629228,0.8062366593839932
