model,term,coefficient,standard_error,odds_ratio,ci_low,ci_high,p_value
center_VitalDB,C(surgical_category)[T.thoracic],-0.6647284956541317,0.29837335868112075,0.5144131741608211,0.28663961973504587,0.9231833128819125,0.02589109872034199
center_VitalDB,C(surgical_category)[T.vascular],-0.36609148423495674,0.5848890987325375,0.6934393595385474,0.22036873825747036,2.1820615263287233,0.5313699954807134
center_VitalDB,age10,-0.04769637472111576,0.11356670146152706,0.9534232265277635,0.7631634736789321,1.1911155083203575,0.6744960024472932
center_VitalDB,egfr10,0.05745065344146432,0.09537996395520565,1.0591330047963545,0.8785428108730107,1.276844688688825,0.5469514267945841
center_VitalDB,anesthesia_hours,0.28502053797695837,0.06211868893835402,1.3297893390238218,1.1773547030895466,1.5019600138692593,4.468233773977962e-06
center_VitalDB,total_low10,0.09514422678119581,0.09451489750791325,1.0998174668209435,0.9138383635147381,1.323645962588141,0.3140989022692897
center_VitalDB,excess5_10,-0.1405004349522851,0.12549025340707512,0.8689232869925251,0.6794600692346225,1.1112171455909021,0.26287899917711166
center_VitalDB,mean_depth5,-0.028999149485137935,0.08307063070028421,0.9714172906710965,0.8254598996626712,1.1431827917993376,0.7270215357751015
pooled_common_surgical_support,Intercept,-4.55251539765843,0.6823724882569728,0.010540657065218492,0.002767140233714104,0.04015172415653575,2.530317111025894e-11
pooled_common_surgical_support,C(center)[T.VitalDB],-0.08598244372310393,0.32467868635160874,0.9176103408999651,0.4856141135459805,1.7339049962492994,0.7911456755546763
pooled_common_surgical_support,C(sex_group)[T.Male],0.6554393076269298,0.2075546495346932,1.9259884329621526,1.2822799055318534,2.892840656631394,0.0015890354652392511
pooled_common_surgical_support,C(asa_group)[T.2],0.5652801113522776,0.47869315594172024,1.7599406930511616,0.6887057041759831,4.497409015601728,0.237649619514946
pooled_common_surgical_support,C(asa_group)[T.3],1.260200597442367,0.5374357901924326,3.5261287488340622,1.2297929288242289,10.110306915849218,0.019035278614829624
pooled_common_surgical_support,C(asa_group)[T.4],1.8841265706857397,0.5925421161213554,6.580604238535004,2.060122328416234,21.02028192545054,0.0014741007753103865
pooled_common_surgical_support,C(surgical_category)[T.genitourinary_gynecologic],1.2316069261157943,0.30002612760675523,3.426731618915834,1.9032567953404365,6.169682208320789,4.04316790716595e-05
pooled_common_surgical_support,C(surgical_category)[T.superficial_other],-0.27665034879337635,0.3253429341684731,0.7583195981238533,0.4007927643520971,1.434777930256099,0.3951390937490028
pooled_common_surgical_support,C(surgical_category)[T.thoracic],-0.5531604541820029,0.24098675979549902,0.5751292653294454,0.3586221957601417,0.9223457882668811,0.021710343044504175
pooled_common_surgical_support,C(surgical_category)[T.vascular],-0.06590334624629245,0.2837158840877994,0.936221349226398,0.5368823688442526,1.6325930326864004,0.816315561378143
pooled_common_surgical_support,age10,0.01652235457039148,0.06547989460723344,1.0166596035207025,0.8942088835732765,1.1558784176920707,0.8007882115491592
pooled_common_surgical_support,egfr10,-0.11815366548227008,0.040929955181512934,0.8885595011989891,0.8200623512319247,0.9627779960693553,0.0038927005421251597
