group,variable,level,observed_n,missing_n,observed_mean_or_percent,missing_mean_or_percent,standardized_mean_difference
MOVER,episode_count,continuous,1137,41,8.985927880386983,8.170731707317072,0.08537598798022271
MOVER,longest_episode_minutes,continuous,1137,41,9.224274406332453,9.585365853658537,-0.025944816486822314
MOVER,excess5_minutes,continuous,1137,41,9.693051890941073,10.975609756097562,-0.04843136853318278
MOVER,auc_below_65_mmhg_minutes,continuous,1137,41,238.53737906772207,344.7317073170732,-0.18599767290967012
MOVER,mean_depth_below_65_mmhg,continuous,1137,41,7.327202465546747,8.784615993624037,-0.19523223169447954
MOVER,sex,Female,396,20,34.82849604221636,48.78048780487805,-0.285737789758351
MOVER,sex,Male,741,21,65.17150395778364,51.21951219512195,0.285737789758351
MOVER,surgical_category,abdominal,267,5,23.482849604221638,12.195121951219512,0.29809851763418177
MOVER,surgical_category,genitourinary_gynecologic,48,2,4.221635883905013,4.878048780487805,-0.03150246039804221
MOVER,surgical_category,out_of_common_support,450,20,39.577836411609496,48.78048780487805,-0.1861137099098795
MOVER,surgical_category,superficial_other,151,2,13.280562884784523,4.878048780487805,0.29562754671520447
MOVER,surgical_category,thoracic,93,6,8.179419525065963,14.634146341463413,-0.20410130958283396
MOVER,surgical_category,vascular,128,6,11.25769569041337,14.634146341463413,-0.10070457842223526
MOVER,hypertension,False,851,32,74.84608619173262,78.04878048780488,-0.0755308534123585
MOVER,hypertension,True,286,9,25.15391380826737,21.951219512195124,0.07553085341235843
MOVER,diabetes,False,966,35,84.96042216358839,85.36585365853658,-0.011405850833735222
MOVER,diabetes,True,171,6,15.03957783641161,14.634146341463413,0.0114058508337353
MOVER,icu_flag,No,80,15,7.036059806508356,36.58536585365854,-0.7662686136291169
MOVER,icu_flag,Yes,1057,26,92.96394019349165,63.41463414634146,0.7662686136291169
VitalDB,age,continuous,1821,139,61.42668863261944,59.935251798561154,0.10685414696181372
VitalDB,asa,continuous,1821,139,1.9763866007688085,1.985611510791367,-0.015447187471435716
VitalDB,baseline_creatinine,continuous,1821,139,0.8504777594728171,0.7818705035971224,0.24709565865439817
VitalDB,baseline_egfr,continuous,1821,139,92.10059816830505,95.22550883245339,-0.16105314489765774
VitalDB,anesthesia_minutes,continuous,1821,139,246.0038440417353,204.90647482038366,0.33049714103328887
VitalDB,map_coverage,continuous,1821,139,0.8627601976360939,0.838821587165218,0.3629591750844008
VitalDB,total_low_minutes,continuous,1821,139,16.58594179022515,16.712230215827336,-0.005332627127889416
VitalDB,episode_count,continuous,1821,139,4.654585392641406,4.316546762589928,0.07171328226399107
VitalDB,longest_episode_minutes,continuous,1821,139,6.073585941790225,6.410071942446043,-0.04881204073964054
VitalDB,excess5_minutes,continuous,1821,139,4.221856123009336,4.748201438848921,-0.045812363497344334
VitalDB,auc_below_65_mmhg_minutes,continuous,1821,139,112.12163646348161,120.35611510791367,-0.049226193015535546
VitalDB,mean_depth_below_65_mmhg,continuous,1821,139,9.821163706318773,8.480143071535167,0.13059378274731992
VitalDB,sex,Female,766,76,42.064799560680946,54.67625899280576,-0.25439659001691245
VitalDB,sex,Male,1055,63,57.935200439319054,45.32374100719424,0.25439659001691234
VitalDB,surgical_category,abdominal,732,53,40.19769357495881,38.1294964028777,0.04238052931357324
VitalDB,surgical_category,genitourinary_gynecologic,65,39,3.5694673256452503,28.05755395683453,-0.7124630919383178
VitalDB,surgical_category,superficial_other,28,12,1.5376166941241076,8.633093525179856,-0.32725922617347836
VitalDB,surgical_category,thoracic,941,33,51.674903898956615,23.741007194244602,0.6019020358472852
VitalDB,surgical_category,vascular,55,2,3.0203185063152116,1.4388489208633095,0.1072676995937587
VitalDB,hypertension,False,1197,99,65.7331136738056,71.22302158273382,-0.11837015186084951
VitalDB,hypertension,True,624,40,34.2668863261944,28.776978417266186,0.11837015186084951
VitalDB,diabetes,False,1580,129,86.76551345414607,92.80575539568345,-0.20045443814556585
